id,name,tag,x,y,district,IDDIST,direction,stars,n_reviews,min_price,max_price,platform
285564,LA SAZÓN DE MORROPÓN,Restaurante,-12.1634648,-76.9643504,SAN JUAN DE MIRAFLORES,150133,"Av. Belisario Suarez 1054, San Juan de Miraflores 15801",42,70, , ,googleplaces
10668,DON PAPA'S,Restaurante,-12.1651055,-76.9715597,SAN JUAN DE MIRAFLORES,150133,"Av Ramon Vargas Machuca 576, San Juan de Miraflores 15801",44,125, , ,googleplaces
8753,Cevicheria El Sotano,Restaurante familiar,-12.1730009,-76.9626262,SAN JUAN DE MIRAFLORES,150133,"Av, Juan Velasco Alvarado Mz B1, San Juan de Miraflores 15801",43,61, , ,googleplaces
178657,Cevicheria El Ajicito Limo,Restaurante,-12.1610522,-76.9678933,SAN JUAN DE MIRAFLORES,150133,"Av. César Canevaro 648, San Juan de Miraflores 15801",43,325, , ,googleplaces
195947,Anticucheria La Cochera de Las Abuelas,Restaurante,-12.1733548,-76.9704771,SAN JUAN DE MIRAFLORES,150133,"Av Juan Velasco Alvarado # 368 ó MZ A LT 10 Republica, San Juan de Miraflores 15824",44,94, , ,googleplaces
241569,Casa China,Restaurante,-12.1582339,-76.9733409,SAN JUAN DE MIRAFLORES,150133,"Av San Juan 931, San Juan de Miraflores 15801",42,830, , ,googleplaces
299262,Restaurante Oriental San San,Restaurante,-12.165507,-76.9694014,SAN JUAN DE MIRAFLORES,150133,"Av. César Canevaro 389, San Juan de Miraflores 15801",41,237, , ,googleplaces
204932,CEVICHERIA JIMMYS,Restaurante,-12.1661222,-76.973868,SAN JUAN DE MIRAFLORES,150133,"Calle Arturo Suarez 471, San Juan de Miraflores 15801",43,41, , ,googleplaces
74619,Restaurant Cevichería El Patrón,Restaurante,-12.1489181,-76.9807595,SAN JUAN DE MIRAFLORES,150133,"Libertadores 131, San Juan de Miraflores 15803",42,134, , ,googleplaces
215312,La Carpita del sabor,Restaurante,-12.1509041,-76.9811513,SAN JUAN DE MIRAFLORES,150133,"Los Lirios 113, San Juan de Miraflores 15801",40,539, , ,googleplaces
246477,El Pulpo Loco 2,Marisquería,-12.1661272,-76.969238,SAN JUAN DE MIRAFLORES,150133,"Av. César Canevaro 361, San Juan de Miraflores 15801",42,258, , ,googleplaces
122081,Oba Oba,Restaurante,-12.1545724,-76.9712734,SAN JUAN DE MIRAFLORES,150133,"Av. los Héroes 510, San Juan de Miraflores 15803",41,169, , ,googleplaces
190891,Capitán Gruñon,Restaurante,-12.1549786,-76.9725648,SAN JUAN DE MIRAFLORES,150133,"José Gabriel Charriarse 493, San Juan de Miraflores 15801",44,61, , ,googleplaces
216035,LAS DELICIAS D DELIA OFICIAL,Restaurante,-12.1584784,-76.9737527,SAN JUAN DE MIRAFLORES,150133,"Av. Guillermo Billinghurst 490, San Juan de Miraflores 15801",46,133, , ,googleplaces
110762,Cevicheria Choro Loco,Restaurante peruano,-12.1522219,-76.9822198,SAN JUAN DE MIRAFLORES,150133,"Los Lirios 199, San Juan de Miraflores 15801",40,622, , ,googleplaces
173228,Chifa Tay Pa,Restaurante chino,-12.1551368,-76.9716831,SAN JUAN DE MIRAFLORES,150133,"Justo Naveda 1167, San Juan de Miraflores 15801",41,369, , ,googleplaces
267231,Los 4 Sabores,Hamburguesería,-12.1644228,-76.9773448,SAN JUAN DE MIRAFLORES,150133,"Rosendo Leder N•658, San Juan de Miraflores 15801",42,68, , ,googleplaces
146407,Kiko's,Restaurante especializado en pollo,-12.1603461,-76.9734249,SAN JUAN DE MIRAFLORES,150133,"Av San Juan 795, San Juan de Miraflores 15801",43,1325, , ,googleplaces
195622,Chifa Chiu,Restaurante chino,-12.1597022,-76.96943,SAN JUAN DE MIRAFLORES,150133,"Av. Guillermo Billinghurst 513, San Juan de Miraflores 15801",43,63, , ,googleplaces
152349,SAN JUAN DE MIRAFLORES,Restaurante,-12.1859862,-76.9820267,SAN JUAN DE MIRAFLORES,150133,"Av. los Eucaliptos, Mz B lt 22, San Juan de Miraflores 15058",30,7, , ,googleplaces
291572,ElPulpoLocoCevicheria,Restaurante,-12.1627512,-76.968976,SAN JUAN DE MIRAFLORES,150133,"LIMA, Av. César Canevaro 525, San Juan de Miraflores 01",39,403, , ,googleplaces
113081,Fridays Mall del Sur,Restaurante,-12.1539878,-76.9830047,SAN JUAN DE MIRAFLORES,150133,"Los Lirios 310, San Juan de Miraflores 15801",44,583, , ,googleplaces
28032,Don Buffet - Mall del Sur,Restaurante,-12.1540468,-76.983126,SAN JUAN DE MIRAFLORES,150133,"Los Lirios 311 C.C. Mall del, Sur, San Juan de Miraflores",43,50, , ,googleplaces
260558,Chicharrones LunaHuana,Restaurante de brunch,-12.164572,-76.969101,SAN JUAN DE MIRAFLORES,150133,"Av. César Canevaro 436, San Juan de Miraflores 15073",39,163, , ,googleplaces
14143,Chifa polleria Unidos restaurante,Restaurante,-12.1642107,-76.9729791,SAN JUAN DE MIRAFLORES,150133,"Lima, Av San Juan 617, San Juan de Miraflores 15801",42,11, , ,googleplaces
280504,Mares Mar,Restaurante,-12.1554304,-76.9692491,SAN JUAN DE MIRAFLORES,150133,"Av. los Héroes 624, San Juan de Miraflores 15801",39,67, , ,googleplaces
201844,Paranoía Resto Bar & Pub,Bar restaurante,-12.1654653,-76.9691215,SAN JUAN DE MIRAFLORES,150133,"Av. César Canevaro 382, San Juan de Miraflores 29",41,201, , ,googleplaces
265003,Guerrero's,Restaurante especializado en filetes,-12.157053,-76.973095,SAN JUAN DE MIRAFLORES,150133,"San Juan de Miraflores, 15801",38,12, , ,googleplaces
198769,PIZZAS y PASTAS,Pizzería,-12.1651529,-76.971813,SAN JUAN DE MIRAFLORES,150133,"Av Ramon Vargas Machuca 556, San Juan de Miraflores 15801",40,181, , ,googleplaces
191599,El Fogón Del Chato,Restaurante,-12.1605525,-76.9636189,SAN JUAN DE MIRAFLORES,150133,"Andrés Guzmán 819 esquina con, Jirón Joaquín Bernal &, San Juan de Miraflores",42,162, , ,googleplaces
144486,Pollos & Parrillas,Restaurante,-12.1511716,-76.9815577,SAN JUAN DE MIRAFLORES,150133,"Los Lirios 135, San Juan de Miraflores 15801",41,16, , ,googleplaces
